model_label,domain,n_prompts,first_shot_pass_rate,eventual_pass_rate,unresolved_rate,first_failed_then_recovered_rate,mean_first_iteration_error_count,mean_total_error_count_across_iterations,mean_iterations_run,mean_iterations_to_success,median_iterations_to_success
Mistral Large,Energy materials,3,33.33333333333333,100.0,0.0,66.66666666666666,9.333333333333334,10.666666666666666,2.0,2.0,2.0
Mistral Large,Fault diagnosis,3,0.0,100.0,0.0,100.0,5.333333333333333,5.333333333333333,2.0,2.0,2.0
Mistral Large,Information Management,8,25.0,100.0,0.0,75.0,3.125,5.25,2.375,2.375,2.0
Mistral Large,Medical Health,1,0.0,100.0,0.0,100.0,2.0,2.0,2.0,2.0,2.0
Mistral Large,Network Communication,3,0.0,100.0,0.0,100.0,8.0,10.0,2.3333333333333335,2.3333333333333335,2.0
Mistral Large,Photography Technique,12,58.333333333333336,100.0,0.0,41.66666666666667,6.5,10.666666666666666,1.75,1.75,1.0
Mistral Large,Simulation Calculation,4,50.0,100.0,0.0,50.0,1.5,2.5,2.0,2.0,2.0
Mistral Large,Systems Engineering,2,0.0,100.0,0.0,100.0,8.5,14.5,2.5,2.5,2.5
Mistral Large,Vehicle Traffic,108,39.81481481481482,100.0,0.0,60.18518518518518,3.740740740740741,6.407407407407407,1.9907407407407407,1.9907407407407407,2.0
Mistral Large,Water resource transportation,1,100.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
OpenAI,Aerospace,3,66.66666666666666,100.0,0.0,33.33333333333333,2.0,2.6666666666666665,1.6666666666666667,1.6666666666666667,1.0
OpenAI,Confidentiality and security,2,50.0,100.0,0.0,50.0,3.0,3.0,1.5,1.5,1.5
OpenAI,Embedded device,1,100.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
OpenAI,Energy materials,3,66.66666666666666,100.0,0.0,33.33333333333333,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.3333333333333333,1.0
OpenAI,Fault diagnosis,3,33.33333333333333,100.0,0.0,66.66666666666666,3.3333333333333335,6.0,2.0,2.0,2.0
OpenAI,Information Management,8,25.0,100.0,0.0,75.0,2.375,3.125,2.0,2.0,2.0
OpenAI,Medical Health,1,100.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
OpenAI,Network Communication,3,33.33333333333333,100.0,0.0,66.66666666666666,18.0,26.666666666666668,2.0,2.0,2.0
OpenAI,Photography Technique,12,58.333333333333336,100.0,0.0,41.66666666666667,1.5,1.6666666666666667,1.5,1.5,1.0
OpenAI,Simulation Calculation,4,50.0,100.0,0.0,50.0,1.75,1.75,1.5,1.5,1.5
OpenAI,Systems Engineering,2,0.0,100.0,0.0,100.0,9.0,9.0,2.0,2.0,2.0
OpenAI,Vehicle Traffic,108,38.88888888888889,100.0,0.0,61.111111111111114,3.925925925925926,4.935185185185185,1.7592592592592593,1.7592592592592593,2.0
OpenAI,Water resource transportation,1,100.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
