model_label,grammar,n_prompts,first_shot_pass_rate,eventual_pass_rate,unresolved_rate,first_failed_then_recovered_rate,mean_first_iteration_error_count,mean_total_error_count_across_iterations,mean_iterations_run,mean_iterations_to_success,median_iterations_to_success
Anthropic Claude Sonnet 4.6,Functional Allocation,2,100.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Anthropic Claude Sonnet 4.6,Generalization,1,100.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Anthropic Claude Sonnet 4.6,Individual,3,66.66666666666666,100.0,0.0,33.33333333333333,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.3333333333333333,1.0
Anthropic Claude Sonnet 4.6,Individual and Snapshot,1,100.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Anthropic Claude Sonnet 4.6,Interface,2,100.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Anthropic Claude Sonnet 4.6,Item,1,100.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Anthropic Claude Sonnet 4.6,Language Extension,6,66.66666666666666,100.0,0.0,33.33333333333333,1.1666666666666667,1.1666666666666667,1.3333333333333333,1.3333333333333333,1.0
Anthropic Claude Sonnet 4.6,Message,2,100.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Anthropic Claude Sonnet 4.6,Metadata,2,50.0,100.0,0.0,50.0,5.0,5.0,1.5,1.5,1.5
Anthropic Claude Sonnet 4.6,Model Constrainment,3,100.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Anthropic Claude Sonnet 4.6,Occurrence,7,57.14285714285714,100.0,0.0,42.857142857142854,0.5714285714285714,0.5714285714285714,1.4285714285714286,1.4285714285714286,1.0
Anthropic Claude Sonnet 4.6,Opaque Action,1,100.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Anthropic Claude Sonnet 4.6,Package,3,33.33333333333333,100.0,0.0,66.66666666666666,10.333333333333334,10.333333333333334,1.6666666666666667,1.6666666666666667,2.0
Anthropic Claude Sonnet 4.6,Part,7,100.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Anthropic Claude Sonnet 4.6,Port,2,100.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Anthropic Claude Sonnet 4.6,Redefinition,1,100.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Anthropic Claude Sonnet 4.6,Requirement,5,60.0,100.0,0.0,40.0,54.0,90.2,2.6,2.6,1.0
Anthropic Claude Sonnet 4.6,SequenceModeling,3,100.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Anthropic Claude Sonnet 4.6,State,4,50.0,100.0,0.0,50.0,1.0,1.0,1.5,1.5,1.5
Anthropic Claude Sonnet 4.6,State Definition,2,100.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Anthropic Claude Sonnet 4.6,State-based Behavior,2,100.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Anthropic Claude Sonnet 4.6,Subsetting,1,100.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Anthropic Claude Sonnet 4.6,Transition,3,66.66666666666666,100.0,0.0,33.33333333333333,0.3333333333333333,0.3333333333333333,1.3333333333333333,1.3333333333333333,1.0
Anthropic Claude Sonnet 4.6,Use Case,2,100.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Anthropic Claude Sonnet 4.6,Variability,3,100.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Anthropic Claude Sonnet 4.6,Variant Configuration,3,100.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Anthropic Claude Sonnet 4.6,Verification,3,100.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Anthropic Claude Sonnet 4.6,View,2,100.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Anthropic Claude Sonnet 4.6,View and Viewpoint,2,100.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
DeepSeek Reasoner,Action,2,50.0,100.0,0.0,50.0,1.0,3.0,2.5,2.5,2.5
DeepSeek Reasoner,Action Definition,4,50.0,100.0,0.0,50.0,2.0,4.0,2.0,2.0,1.5
DeepSeek Reasoner,Analysis,3,33.33333333333333,100.0,0.0,66.66666666666666,4.333333333333333,6.333333333333333,2.0,2.0,2.0
DeepSeek Reasoner,Analysis and Trade,4,25.0,100.0,0.0,75.0,2.0,7.75,2.5,2.5,2.0
DeepSeek Reasoner,Assignment Action,1,100.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
DeepSeek Reasoner,Attribute,1,0.0,100.0,0.0,100.0,6.0,6.0,2.0,2.0,2.0
DeepSeek Reasoner,Binding Connector,2,50.0,100.0,0.0,50.0,2.5,2.5,1.5,1.5,1.5
DeepSeek Reasoner,Calculation,3,66.66666666666666,100.0,0.0,33.33333333333333,4.666666666666667,4.666666666666667,1.3333333333333333,1.3333333333333333,1.0
DeepSeek Reasoner,Conditional Succession,2,50.0,100.0,0.0,50.0,2.0,2.0,1.5,1.5,1.5
DeepSeek Reasoner,Connection,1,0.0,100.0,0.0,100.0,21.0,21.0,2.0,2.0,2.0
DeepSeek Reasoner,Constraint,7,28.57142857142857,100.0,0.0,71.42857142857143,2.4285714285714284,3.142857142857143,2.142857142857143,2.142857142857143,2.0
DeepSeek Reasoner,Control Structure,5,0.0,100.0,0.0,100.0,10.0,11.2,2.2,2.2,2.0
DeepSeek Reasoner,Dependency,4,25.0,100.0,0.0,75.0,6.25,7.0,2.0,2.0,2.0
DeepSeek Reasoner,Enumeration,2,0.0,100.0,0.0,100.0,11.5,15.5,3.5,3.5,3.5
DeepSeek Reasoner,Expression,18,44.44444444444444,100.0,0.0,55.55555555555556,4.166666666666667,4.333333333333333,1.7222222222222223,1.7222222222222223,2.0
DeepSeek Reasoner,Filtering,2,0.0,100.0,0.0,100.0,16.0,23.0,2.5,2.5,2.5
DeepSeek Reasoner,Flow Connection,3,66.66666666666666,100.0,0.0,33.33333333333333,2.3333333333333335,3.6666666666666665,1.6666666666666667,1.6666666666666667,1.0
DeepSeek Reasoner,Function-based Behavior,8,50.0,100.0,0.0,50.0,2.5,2.5,1.5,1.5,1.5
DeepSeek Reasoner,Functional Allocation,2,0.0,100.0,0.0,100.0,1.0,2.5,3.5,3.5,3.5
DeepSeek Reasoner,Generalization,1,100.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
DeepSeek Reasoner,Individual,3,33.33333333333333,100.0,0.0,66.66666666666666,4.0,7.666666666666667,2.3333333333333335,2.3333333333333335,2.0
DeepSeek Reasoner,Individual and Snapshot,1,100.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
DeepSeek Reasoner,Interface,2,0.0,100.0,0.0,100.0,7.0,10.0,2.5,2.5,2.5
DeepSeek Reasoner,Item,1,100.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
DeepSeek Reasoner,Language Extension,6,0.0,100.0,0.0,100.0,6.166666666666667,10.833333333333334,3.0,3.0,3.0
DeepSeek Reasoner,Message,2,50.0,100.0,0.0,50.0,7.0,7.0,1.5,1.5,1.5
DeepSeek Reasoner,Metadata,2,0.0,100.0,0.0,100.0,7.0,22.5,3.5,3.5,3.5
DeepSeek Reasoner,Model Constrainment,3,66.66666666666666,100.0,0.0,33.33333333333333,2.0,2.0,1.3333333333333333,1.3333333333333333,1.0
DeepSeek Reasoner,Occurrence,7,57.14285714285714,100.0,0.0,42.857142857142854,2.0,2.5714285714285716,1.7142857142857142,1.7142857142857142,1.0
DeepSeek Reasoner,Opaque Action,1,100.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
DeepSeek Reasoner,Package,3,33.33333333333333,100.0,0.0,66.66666666666666,2.6666666666666665,2.6666666666666665,1.6666666666666667,1.6666666666666667,2.0
DeepSeek Reasoner,Part,7,57.14285714285714,100.0,0.0,42.857142857142854,4.0,4.142857142857143,1.5714285714285714,1.5714285714285714,1.0
DeepSeek Reasoner,Port,2,0.0,100.0,0.0,100.0,5.0,5.0,2.0,2.0,2.0
DeepSeek Reasoner,Redefinition,1,100.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
DeepSeek Reasoner,Requirement,5,40.0,100.0,0.0,60.0,6.6,10.2,2.0,2.0,2.0
DeepSeek Reasoner,SequenceModeling,3,100.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
DeepSeek Reasoner,State,4,0.0,100.0,0.0,100.0,10.5,16.75,3.0,3.0,2.5
DeepSeek Reasoner,State Definition,2,0.0,100.0,0.0,100.0,23.5,28.5,2.5,2.5,2.5
DeepSeek Reasoner,State-based Behavior,2,100.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
DeepSeek Reasoner,Subsetting,1,100.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
DeepSeek Reasoner,Transition,3,0.0,100.0,0.0,100.0,8.333333333333334,22.666666666666668,3.0,3.0,3.0
DeepSeek Reasoner,Use Case,2,0.0,100.0,0.0,100.0,6.5,9.5,2.5,2.5,2.5
DeepSeek Reasoner,Variability,3,66.66666666666666,100.0,0.0,33.33333333333333,3.0,4.0,1.6666666666666667,1.6666666666666667,1.0
DeepSeek Reasoner,Variant Configuration,3,66.66666666666666,100.0,0.0,33.33333333333333,1.3333333333333333,2.0,1.6666666666666667,1.6666666666666667,1.0
DeepSeek Reasoner,Verification,3,100.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
DeepSeek Reasoner,View,2,50.0,100.0,0.0,50.0,6.0,22.0,4.5,4.5,4.5
DeepSeek Reasoner,View and Viewpoint,2,50.0,100.0,0.0,50.0,1.0,1.0,1.5,1.5,1.5
Mistral Large,Action,2,0.0,100.0,0.0,100.0,13.0,33.0,3.0,3.0,3.0
Mistral Large,Action Definition,4,75.0,100.0,0.0,25.0,9.0,11.5,1.75,1.75,1.0
Mistral Large,Analysis,3,33.33333333333333,100.0,0.0,66.66666666666666,3.6666666666666665,5.333333333333333,2.0,2.0,2.0
Mistral Large,Analysis and Trade,4,25.0,100.0,0.0,75.0,3.5,8.25,2.5,2.5,2.0
Mistral Large,Assignment Action,1,100.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Mistral Large,Attribute,1,100.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Mistral Large,Binding Connector,2,50.0,100.0,0.0,50.0,3.0,6.0,2.5,2.5,2.5
Mistral Large,Calculation,3,33.33333333333333,100.0,0.0,66.66666666666666,1.0,1.0,1.6666666666666667,1.6666666666666667,2.0
Mistral Large,Conditional Succession,2,100.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Mistral Large,Connection,1,0.0,100.0,0.0,100.0,12.0,67.0,5.0,5.0,5.0
Mistral Large,Constraint,7,42.857142857142854,100.0,0.0,57.14285714285714,2.5714285714285716,2.857142857142857,1.8571428571428572,1.8571428571428572,2.0
Mistral Large,Control Structure,5,40.0,100.0,0.0,60.0,7.2,7.4,1.8,1.8,2.0
Mistral Large,Dependency,4,50.0,100.0,0.0,50.0,1.75,2.0,1.75,1.75,1.5
Mistral Large,Enumeration,2,100.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Mistral Large,Expression,18,33.33333333333333,100.0,0.0,66.66666666666666,3.2222222222222223,6.277777777777778,2.3333333333333335,2.3333333333333335,2.0
Mistral Large,Filtering,2,50.0,100.0,0.0,50.0,14.5,19.5,2.0,2.0,2.0
Mistral Large,Flow Connection,3,33.33333333333333,100.0,0.0,66.66666666666666,6.333333333333333,15.0,3.0,3.0,3.0
Mistral Large,Function-based Behavior,8,25.0,100.0,0.0,75.0,1.875,1.875,1.75,1.75,2.0
Mistral Large,Functional Allocation,2,50.0,100.0,0.0,50.0,3.5,3.5,1.5,1.5,1.5
Mistral Large,Generalization,1,100.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Mistral Large,Individual,3,33.33333333333333,100.0,0.0,66.66666666666666,0.6666666666666666,0.6666666666666666,1.6666666666666667,1.6666666666666667,2.0
Mistral Large,Individual and Snapshot,1,100.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Mistral Large,Interface,2,50.0,100.0,0.0,50.0,1.0,1.0,1.5,1.5,1.5
Mistral Large,Item,1,100.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Mistral Large,Language Extension,6,16.666666666666664,100.0,0.0,83.33333333333334,3.5,3.5,1.8333333333333333,1.8333333333333333,2.0
Mistral Large,Message,2,50.0,100.0,0.0,50.0,3.5,3.5,1.5,1.5,1.5
Mistral Large,Metadata,2,50.0,100.0,0.0,50.0,4.0,4.0,1.5,1.5,1.5
Mistral Large,Model Constrainment,3,66.66666666666666,100.0,0.0,33.33333333333333,0.3333333333333333,2.0,2.3333333333333335,2.3333333333333335,1.0
Mistral Large,Occurrence,7,14.285714285714285,100.0,0.0,85.71428571428571,8.0,14.714285714285714,2.5714285714285716,2.5714285714285716,3.0
Mistral Large,Opaque Action,1,0.0,100.0,0.0,100.0,1.0,1.0,2.0,2.0,2.0
Mistral Large,Package,3,0.0,100.0,0.0,100.0,6.0,15.0,2.6666666666666665,2.6666666666666665,2.0
Mistral Large,Part,7,14.285714285714285,100.0,0.0,85.71428571428571,6.0,8.285714285714286,2.142857142857143,2.142857142857143,2.0
Mistral Large,Port,2,0.0,100.0,0.0,100.0,9.0,9.0,2.0,2.0,2.0
Mistral Large,Redefinition,1,0.0,100.0,0.0,100.0,4.0,4.0,2.0,2.0,2.0
Mistral Large,Requirement,5,20.0,100.0,0.0,80.0,9.0,12.2,2.6,2.6,2.0
Mistral Large,SequenceModeling,3,33.33333333333333,100.0,0.0,66.66666666666666,6.666666666666667,8.666666666666666,2.0,2.0,2.0
Mistral Large,State,4,75.0,100.0,0.0,25.0,1.0,1.0,1.25,1.25,1.0
Mistral Large,State Definition,2,50.0,100.0,0.0,50.0,4.0,4.0,1.5,1.5,1.5
Mistral Large,State-based Behavior,2,100.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Mistral Large,Subsetting,1,100.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Mistral Large,Transition,3,33.33333333333333,100.0,0.0,66.66666666666666,8.0,10.333333333333334,2.0,2.0,2.0
Mistral Large,Use Case,2,50.0,100.0,0.0,50.0,3.5,7.0,2.0,2.0,2.0
Mistral Large,Variability,3,66.66666666666666,100.0,0.0,33.33333333333333,0.3333333333333333,0.3333333333333333,1.3333333333333333,1.3333333333333333,1.0
Mistral Large,Variant Configuration,3,33.33333333333333,100.0,0.0,66.66666666666666,0.6666666666666666,0.6666666666666666,1.6666666666666667,1.6666666666666667,2.0
Mistral Large,Verification,3,33.33333333333333,100.0,0.0,66.66666666666666,5.333333333333333,6.666666666666667,2.0,2.0,2.0
Mistral Large,View,2,0.0,100.0,0.0,100.0,7.0,15.0,3.0,3.0,3.0
Mistral Large,View and Viewpoint,2,50.0,100.0,0.0,50.0,0.5,0.5,1.5,1.5,1.5
OpenAI,Action,2,100.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
OpenAI,Action Definition,4,50.0,100.0,0.0,50.0,0.5,1.0,1.75,1.75,1.5
OpenAI,Analysis,3,66.66666666666666,100.0,0.0,33.33333333333333,3.3333333333333335,3.3333333333333335,1.3333333333333333,1.3333333333333333,1.0
OpenAI,Analysis and Trade,4,0.0,100.0,0.0,100.0,2.0,2.0,2.0,2.0,2.0
OpenAI,Assignment Action,1,0.0,100.0,0.0,100.0,2.0,2.0,2.0,2.0,2.0
OpenAI,Attribute,1,100.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
OpenAI,Binding Connector,2,0.0,100.0,0.0,100.0,25.5,26.0,2.5,2.5,2.5
OpenAI,Calculation,3,0.0,100.0,0.0,100.0,11.666666666666666,11.666666666666666,2.0,2.0,2.0
OpenAI,Conditional Succession,2,100.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
OpenAI,Connection,1,100.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
OpenAI,Constraint,7,42.857142857142854,100.0,0.0,57.14285714285714,3.857142857142857,10.0,2.0,2.0,2.0
OpenAI,Control Structure,5,40.0,100.0,0.0,60.0,2.2,2.2,1.6,1.6,2.0
OpenAI,Dependency,4,0.0,100.0,0.0,100.0,2.25,2.25,2.0,2.0,2.0
OpenAI,Enumeration,2,100.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
OpenAI,Expression,18,55.55555555555556,100.0,0.0,44.44444444444444,1.9444444444444444,3.3333333333333335,1.6666666666666667,1.6666666666666667,1.0
OpenAI,Filtering,2,0.0,100.0,0.0,100.0,15.5,19.0,2.5,2.5,2.5
OpenAI,Flow Connection,3,33.33333333333333,100.0,0.0,66.66666666666666,3.3333333333333335,3.3333333333333335,1.6666666666666667,1.6666666666666667,2.0
OpenAI,Function-based Behavior,8,37.5,100.0,0.0,62.5,3.0,4.0,1.875,1.875,2.0
OpenAI,Functional Allocation,2,100.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
OpenAI,Generalization,1,0.0,100.0,0.0,100.0,3.0,3.0,2.0,2.0,2.0
OpenAI,Individual,3,0.0,100.0,0.0,100.0,3.0,8.333333333333334,2.6666666666666665,2.6666666666666665,3.0
OpenAI,Individual and Snapshot,1,100.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
OpenAI,Interface,2,50.0,100.0,0.0,50.0,1.5,1.5,1.5,1.5,1.5
OpenAI,Item,1,100.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
OpenAI,Language Extension,6,50.0,100.0,0.0,50.0,2.6666666666666665,4.0,1.6666666666666667,1.6666666666666667,1.5
OpenAI,Message,2,50.0,100.0,0.0,50.0,3.5,3.5,1.5,1.5,1.5
OpenAI,Metadata,2,0.0,100.0,0.0,100.0,7.0,10.0,3.0,3.0,3.0
OpenAI,Model Constrainment,3,33.33333333333333,100.0,0.0,66.66666666666666,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,2.0
OpenAI,Occurrence,7,28.57142857142857,100.0,0.0,71.42857142857143,8.857142857142858,9.428571428571429,1.8571428571428572,1.8571428571428572,2.0
OpenAI,Opaque Action,1,100.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
OpenAI,Package,3,66.66666666666666,100.0,0.0,33.33333333333333,0.3333333333333333,0.3333333333333333,1.3333333333333333,1.3333333333333333,1.0
OpenAI,Part,7,28.57142857142857,100.0,0.0,71.42857142857143,2.4285714285714284,2.4285714285714284,1.7142857142857142,1.7142857142857142,2.0
OpenAI,Port,2,50.0,100.0,0.0,50.0,3.0,4.0,2.0,2.0,2.0
OpenAI,Redefinition,1,100.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
OpenAI,Requirement,5,40.0,100.0,0.0,60.0,3.4,3.6,1.8,1.8,2.0
OpenAI,SequenceModeling,3,33.33333333333333,100.0,0.0,66.66666666666666,3.6666666666666665,3.6666666666666665,1.6666666666666667,1.6666666666666667,2.0
OpenAI,State,4,50.0,100.0,0.0,50.0,0.5,0.5,1.5,1.5,1.5
OpenAI,State Definition,2,50.0,100.0,0.0,50.0,2.5,2.5,1.5,1.5,1.5
OpenAI,State-based Behavior,2,0.0,100.0,0.0,100.0,5.5,5.5,2.0,2.0,2.0
OpenAI,Subsetting,1,0.0,100.0,0.0,100.0,4.0,4.0,2.0,2.0,2.0
OpenAI,Transition,3,0.0,100.0,0.0,100.0,27.333333333333332,36.0,2.3333333333333335,2.3333333333333335,2.0
OpenAI,Use Case,2,50.0,100.0,0.0,50.0,3.5,3.5,1.5,1.5,1.5
OpenAI,Variability,3,33.33333333333333,100.0,0.0,66.66666666666666,2.6666666666666665,4.0,2.0,2.0,2.0
OpenAI,Variant Configuration,3,100.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
OpenAI,Verification,3,66.66666666666666,100.0,0.0,33.33333333333333,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.3333333333333333,1.0
OpenAI,View,2,0.0,100.0,0.0,100.0,7.0,7.0,2.0,2.0,2.0
OpenAI,View and Viewpoint,2,0.0,100.0,0.0,100.0,1.5,1.5,2.0,2.0,2.0
